COUNTRY, TERMINAL, SENSOR, RECORDNUMBER,TEMPRED,TEMPYELLOW,TEMPBLUE, X, Y, Z, TIMESTAMPDATE, TIMESTAMPTIME,01-26-2017,2054
108,003,02,0,85.6,85,85.6,321,458,310,01-26-2017,2051
108,003,02,1,85.6,84.9,85.6,320,457,301,01-26-2017,2048
108,003,02,2,85.6,85.2,85.6,325,452,309,01-26-2017,2045
108,003,02,3,85.6,85.3,85.6,327,456,301,01-26-2017,2042
108,003,02,4,84.9,85.1,84.9,330,456,307,01-26-2017,2039
108,003,02,5,85.06,85.86,85.06,320,453,305,01-26-2017,2036
108,003,02,6,84.08,83.9,84.08,318,450,315,01-26-2017,2033
108,003,02,7,85.6,84.7,85.6,325,465,317,01-26-2017,2030
108,003,02,8,85.69,85.52,85.69,321,460,319,01-26-2017,2027
108,003,02,9,85.9,85.8,85.9,323,449,316,01-26-2017,2024
108,003,02,10,86.3,87.3,86.3,324,459,323,01-26-2017,2021
108,003,02,11,86.9,86.9,86.9,310,452,315,01-26-2017,2018
108,003,02,12,87.36,87.36,87.36,308,450,309,01-26-2017,2015
108,003,02,13,85.6,85.6,85.6,321,458,310,01-26-2017,2012
108,003,02,14,85.6,85.6,85.6,320,457,301,01-26-2017,209
108,003,02,15,85.6,85.6,85.6,325,452,309,01-26-2017,206
108,003,02,16,85.6,85.6,85.6,327,456,301,01-26-2017,203
108,003,02,17,84.9,84.9,84.9,330,456,307,01-26-2017,200
,01-26-2017,1954
